compound,flashpoint,pure substance,smiles,source
Allyltrichlorosilane,304,1,C(C=C)[Si](Cl)(Cl)Cl,pan12
Methylvinyldichlorosilane,272,1,CC=C[SiH](Cl)Cl,pan12
3-Chloropropyltrichlorosilane,357,1,ClCCC[Si](Cl)(Cl)Cl,pan12
Bromomethyldimethylchlorosilane,314,1,BrC[Si](Cl)(C)C,pan12
Chloromethyldimethylchlorosilane,295,1,ClC[Si](Cl)(C)C,pan12
Trimethylbromosilane,270,1,C[Si](Br)(C)C,pan12
Trimethylchlorosilane,255,1,C[Si](Cl)(C)C,pan12
Trimethoxysilane,264,1,CO[SiH](OC)OC,pan12
Trimethylsilane,204,1,C[SiH](C)C,pan12
Cyanoethylmethyldichlorosilane,333,1,C(#N)CC[Si](Cl)(Cl)C,pan12
Allylmethyldichlorosilane,300,1,C(C=C)C[SiH](Cl)Cl,pan12
3-Chloropropylmethyldichlorosilane,359,1,ClCCC[Si](Cl)(Cl)C,pan12
t-Butyltrichlorosilane,294,1,C(C)(C)(C)[Si](Cl)(Cl)Cl,pan12
Isobutyltrichlorosilane,310,1,C(C(C)C)[Si](Cl)(Cl)Cl,pan12
